PassengerId,Survived,Pclass,SibSp,Parch,Fare,Gender,EmbarkedMap,AgeFill,AgeIsNull,FamilySize,Age*Class
1,0,3,1,0,7.25,1,2.0,22.0,0,1,66.0
2,1,1,1,0,71.2833,0,0.0,38.0,0,1,38.0
3,1,3,0,0,7.925,0,2.0,26.0,0,0,78.0
4,1,1,1,0,53.1,0,2.0,35.0,0,1,35.0
5,0,3,0,0,8.05,1,2.0,35.0,0,0,105.0
6,0,3,0,0,8.4583,1,1.0,25.0,1,0,75.0
7,0,1,0,0,51.8625,1,2.0,54.0,0,0,54.0
8,0,3,3,1,21.075,1,2.0,2.0,0,4,6.0
9,1,3,0,2,11.1333,0,2.0,27.0,0,2,81.0
10,1,2,1,0,30.0708,0,0.0,14.0,0,1,28.0
11,1,3,1,1,16.7,0,2.0,4.0,0,2,12.0
12,1,1,0,0,26.55,0,2.0,58.0,0,0,58.0
13,0,3,0,0,8.05,1,2.0,20.0,0,0,60.0
14,0,3,1,5,31.275,1,2.0,39.0,0,6,117.0
15,0,3,0,0,7.8542,0,2.0,14.0,0,0,42.0
16,1,2,0,0,16.0,0,2.0,55.0,0,0,110.0
17,0,3,4,1,29.125,1,1.0,2.0,0,5,6.0
18,1,2,0,0,13.0,1,2.0,30.0,1,0,60.0
19,0,3,1,0,18.0,0,2.0,31.0,0,1,93.0
20,1,3,0,0,7.225,0,0.0,21.5,1,0,64.5
21,0,2,0,0,26.0,1,2.0,35.0,0,0,70.0
22,1,2,0,0,13.0,1,2.0,34.0,0,0,68.0
23,1,3,0,0,8.0292,0,1.0,15.0,0,0,45.0
24,1,1,0,0,35.5,1,2.0,28.0,0,0,28.0
25,0,3,3,1,21.075,0,2.0,8.0,0,4,24.0
26,1,3,1,5,31.3875,0,2.0,38.0,0,6,114.0
27,0,3,0,0,7.225,1,0.0,25.0,1,0,75.0
28,0,1,3,2,263.0,1,2.0,19.0,0,5,19.0
29,1,3,0,0,7.8792,0,1.0,21.5,1,0,64.5
30,0,3,0,0,7.8958,1,2.0,25.0,1,0,75.0
31,0,1,0,0,27.7208,1,0.0,40.0,0,0,40.0
32,1,1,1,0,146.5208,0,0.0,35.0,1,1,35.0
33,1,3,0,0,7.75,0,1.0,21.5,1,0,64.5
34,0,2,0,0,10.5,1,2.0,66.0,0,0,132.0
35,0,1,1,0,82.1708,1,0.0,28.0,0,1,28.0
36,0,1,1,0,52.0,1,2.0,42.0,0,1,42.0
37,1,3,0,0,7.2292,1,0.0,25.0,1,0,75.0
38,0,3,0,0,8.05,1,2.0,21.0,0,0,63.0
39,0,3,2,0,18.0,0,2.0,18.0,0,2,54.0
40,1,3,1,0,11.2417,0,0.0,14.0,0,1,42.0
41,0,3,1,0,9.475,0,2.0,40.0,0,1,120.0
42,0,2,1,0,21.0,0,2.0,27.0,0,1,54.0
43,0,3,0,0,7.8958,1,0.0,25.0,1,0,75.0
44,1,2,1,2,41.5792,0,0.0,3.0,0,3,6.0
45,1,3,0,0,7.8792,0,1.0,19.0,0,0,57.0
46,0,3,0,0,8.05,1,2.0,25.0,1,0,75.0
47,0,3,1,0,15.5,1,1.0,25.0,1,1,75.0
48,1,3,0,0,7.75,0,1.0,21.5,1,0,64.5
49,0,3,2,0,21.6792,1,0.0,25.0,1,2,75.0
50,0,3,1,0,17.8,0,2.0,18.0,0,1,54.0
51,0,3,4,1,39.6875,1,2.0,7.0,0,5,21.0
52,0,3,0,0,7.8,1,2.0,21.0,0,0,63.0
53,1,1,1,0,76.7292,0,0.0,49.0,0,1,49.0
54,1,2,1,0,26.0,0,2.0,29.0,0,1,58.0
55,0,1,0,1,61.9792,1,0.0,65.0,0,1,65.0
56,1,1,0,0,35.5,1,2.0,40.0,1,0,40.0
57,1,2,0,0,10.5,0,2.0,21.0,0,0,42.0
58,0,3,0,0,7.2292,1,0.0,28.5,0,0,85.5
59,1,2,1,2,27.75,0,2.0,5.0,0,3,10.0
60,0,3,5,2,46.9,1,2.0,11.0,0,7,33.0
61,0,3,0,0,7.2292,1,0.0,22.0,0,0,66.0
62,1,1,0,0,80.0,0,,38.0,0,0,38.0
63,0,1,1,0,83.475,1,2.0,45.0,0,1,45.0
64,0,3,3,2,27.9,1,2.0,4.0,0,5,12.0
65,0,1,0,0,27.7208,1,0.0,40.0,1,0,40.0
66,1,3,1,1,15.2458,1,0.0,25.0,1,2,75.0
67,1,2,0,0,10.5,0,2.0,29.0,0,0,58.0
68,0,3,0,0,8.1583,1,2.0,19.0,0,0,57.0
69,1,3,4,2,7.925,0,2.0,17.0,0,6,51.0
70,0,3,2,0,8.6625,1,2.0,26.0,0,2,78.0
71,0,2,0,0,10.5,1,2.0,32.0,0,0,64.0
72,0,3,5,2,46.9,0,2.0,16.0,0,7,48.0
73,0,2,0,0,73.5,1,2.0,21.0,0,0,42.0
74,0,3,1,0,14.4542,1,0.0,26.0,0,1,78.0
75,1,3,0,0,56.4958,1,2.0,32.0,0,0,96.0
76,0,3,0,0,7.65,1,2.0,25.0,0,0,75.0
77,0,3,0,0,7.8958,1,2.0,25.0,1,0,75.0
78,0,3,0,0,8.05,1,2.0,25.0,1,0,75.0
79,1,2,0,2,29.0,1,2.0,0.83,0,2,1.66
80,1,3,0,0,12.475,0,2.0,30.0,0,0,90.0
81,0,3,0,0,9.0,1,2.0,22.0,0,0,66.0
82,1,3,0,0,9.5,1,2.0,29.0,0,0,87.0
83,1,3,0,0,7.7875,0,1.0,21.5,1,0,64.5
84,0,1,0,0,47.1,1,2.0,28.0,0,0,28.0
85,1,2,0,0,10.5,0,2.0,17.0,0,0,34.0
86,1,3,3,0,15.85,0,2.0,33.0,0,3,99.0
87,0,3,1,3,34.375,1,2.0,16.0,0,4,48.0
88,0,3,0,0,8.05,1,2.0,25.0,1,0,75.0
89,1,1,3,2,263.0,0,2.0,23.0,0,5,23.0
90,0,3,0,0,8.05,1,2.0,24.0,0,0,72.0
91,0,3,0,0,8.05,1,2.0,29.0,0,0,87.0
92,0,3,0,0,7.8542,1,2.0,20.0,0,0,60.0
93,0,1,1,0,61.175,1,2.0,46.0,0,1,46.0
94,0,3,1,2,20.575,1,2.0,26.0,0,3,78.0
95,0,3,0,0,7.25,1,2.0,59.0,0,0,177.0
96,0,3,0,0,8.05,1,2.0,25.0,1,0,75.0
97,0,1,0,0,34.6542,1,0.0,71.0,0,0,71.0
98,1,1,0,1,63.3583,1,0.0,23.0,0,1,23.0
99,1,2,0,1,23.0,0,2.0,34.0,0,1,68.0
100,0,2,1,0,26.0,1,2.0,34.0,0,1,68.0
101,0,3,0,0,7.8958,0,2.0,28.0,0,0,84.0
102,0,3,0,0,7.8958,1,2.0,25.0,1,0,75.0
103,0,1,0,1,77.2875,1,2.0,21.0,0,1,21.0
104,0,3,0,0,8.6542,1,2.0,33.0,0,0,99.0
105,0,3,2,0,7.925,1,2.0,37.0,0,2,111.0
106,0,3,0,0,7.8958,1,2.0,28.0,0,0,84.0
107,1,3,0,0,7.65,0,2.0,21.0,0,0,63.0
108,1,3,0,0,7.775,1,2.0,25.0,1,0,75.0
109,0,3,0,0,7.8958,1,2.0,38.0,0,0,114.0
110,1,3,1,0,24.15,0,1.0,21.5,1,1,64.5
111,0,1,0,0,52.0,1,2.0,47.0,0,0,47.0
112,0,3,1,0,14.4542,0,0.0,14.5,0,1,43.5
113,0,3,0,0,8.05,1,2.0,22.0,0,0,66.0
114,0,3,1,0,9.825,0,2.0,20.0,0,1,60.0
115,0,3,0,0,14.4583,0,0.0,17.0,0,0,51.0
116,0,3,0,0,7.925,1,2.0,21.0,0,0,63.0
117,0,3,0,0,7.75,1,1.0,70.5,0,0,211.5
118,0,2,1,0,21.0,1,2.0,29.0,0,1,58.0
119,0,1,0,1,247.5208,1,0.0,24.0,0,1,24.0
120,0,3,4,2,31.275,0,2.0,2.0,0,6,6.0
121,0,2,2,0,73.5,1,2.0,21.0,0,2,42.0
122,0,3,0,0,8.05,1,2.0,25.0,1,0,75.0
123,0,2,1,0,30.0708,1,0.0,32.5,0,1,65.0
124,1,2,0,0,13.0,0,2.0,32.5,0,0,65.0
125,0,1,0,1,77.2875,1,2.0,54.0,0,1,54.0
126,1,3,1,0,11.2417,1,0.0,12.0,0,1,36.0
127,0,3,0,0,7.75,1,1.0,25.0,1,0,75.0
128,1,3,0,0,7.1417,1,2.0,24.0,0,0,72.0
129,1,3,1,1,22.3583,0,0.0,21.5,1,2,64.5
130,0,3,0,0,6.975,1,2.0,45.0,0,0,135.0
131,0,3,0,0,7.8958,1,0.0,33.0,0,0,99.0
132,0,3,0,0,7.05,1,2.0,20.0,0,0,60.0
133,0,3,1,0,14.5,0,2.0,47.0,0,1,141.0
134,1,2,1,0,26.0,0,2.0,29.0,0,1,58.0
135,0,2,0,0,13.0,1,2.0,25.0,0,0,50.0
136,0,2,0,0,15.0458,1,0.0,23.0,0,0,46.0
137,1,1,0,2,26.2833,0,2.0,19.0,0,2,19.0
138,0,1,1,0,53.1,1,2.0,37.0,0,1,37.0
139,0,3,0,0,9.2167,1,2.0,16.0,0,0,48.0
140,0,1,0,0,79.2,1,0.0,24.0,0,0,24.0
141,0,3,0,2,15.2458,0,0.0,21.5,1,2,64.5
142,1,3,0,0,7.75,0,2.0,22.0,0,0,66.0
143,1,3,1,0,15.85,0,2.0,24.0,0,1,72.0
144,0,3,0,0,6.75,1,1.0,19.0,0,0,57.0
145,0,2,0,0,11.5,1,2.0,18.0,0,0,36.0
146,0,2,1,1,36.75,1,2.0,19.0,0,2,38.0
147,1,3,0,0,7.7958,1,2.0,27.0,0,0,81.0
148,0,3,2,2,34.375,0,2.0,9.0,0,4,27.0
149,0,2,0,2,26.0,1,2.0,36.5,0,2,73.0
150,0,2,0,0,13.0,1,2.0,42.0,0,0,84.0
151,0,2,0,0,12.525,1,2.0,51.0,0,0,102.0
152,1,1,1,0,66.6,0,2.0,22.0,0,1,22.0
153,0,3,0,0,8.05,1,2.0,55.5,0,0,166.5
154,0,3,0,2,14.5,1,2.0,40.5,0,2,121.5
155,0,3,0,0,7.3125,1,2.0,25.0,1,0,75.0
156,0,1,0,1,61.3792,1,0.0,51.0,0,1,51.0
157,1,3,0,0,7.7333,0,1.0,16.0,0,0,48.0
158,0,3,0,0,8.05,1,2.0,30.0,0,0,90.0
159,0,3,0,0,8.6625,1,2.0,25.0,1,0,75.0
160,0,3,8,2,69.55,1,2.0,25.0,1,10,75.0
161,0,3,0,1,16.1,1,2.0,44.0,0,1,132.0
162,1,2,0,0,15.75,0,2.0,40.0,0,0,80.0
163,0,3,0,0,7.775,1,2.0,26.0,0,0,78.0
164,0,3,0,0,8.6625,1,2.0,17.0,0,0,51.0
165,0,3,4,1,39.6875,1,2.0,1.0,0,5,3.0
166,1,3,0,2,20.525,1,2.0,9.0,0,2,27.0
167,1,1,0,1,55.0,0,2.0,35.0,1,1,35.0
168,0,3,1,4,27.9,0,2.0,45.0,0,5,135.0
169,0,1,0,0,25.925,1,2.0,40.0,1,0,40.0
170,0,3,0,0,56.4958,1,2.0,28.0,0,0,84.0
171,0,1,0,0,33.5,1,2.0,61.0,0,0,61.0
172,0,3,4,1,29.125,1,1.0,4.0,0,5,12.0
173,1,3,1,1,11.1333,0,2.0,1.0,0,2,3.0
174,0,3,0,0,7.925,1,2.0,21.0,0,0,63.0
175,0,1,0,0,30.6958,1,0.0,56.0,0,0,56.0
176,0,3,1,1,7.8542,1,2.0,18.0,0,2,54.0
177,0,3,3,1,25.4667,1,2.0,25.0,1,4,75.0
178,0,1,0,0,28.7125,0,0.0,50.0,0,0,50.0
179,0,2,0,0,13.0,1,2.0,30.0,0,0,60.0
180,0,3,0,0,0.0,1,2.0,36.0,0,0,108.0
181,0,3,8,2,69.55,0,2.0,21.5,1,10,64.5
182,0,2,0,0,15.05,1,0.0,30.0,1,0,60.0
183,0,3,4,2,31.3875,1,2.0,9.0,0,6,27.0
184,1,2,2,1,39.0,1,2.0,1.0,0,3,2.0
185,1,3,0,2,22.025,0,2.0,4.0,0,2,12.0
186,0,1,0,0,50.0,1,2.0,40.0,1,0,40.0
187,1,3,1,0,15.5,0,1.0,21.5,1,1,64.5
188,1,1,0,0,26.55,1,2.0,45.0,0,0,45.0
189,0,3,1,1,15.5,1,1.0,40.0,0,2,120.0
190,0,3,0,0,7.8958,1,2.0,36.0,0,0,108.0
191,1,2,0,0,13.0,0,2.0,32.0,0,0,64.0
192,0,2,0,0,13.0,1,2.0,19.0,0,0,38.0
193,1,3,1,0,7.8542,0,2.0,19.0,0,1,57.0
194,1,2,1,1,26.0,1,2.0,3.0,0,2,6.0
195,1,1,0,0,27.7208,0,0.0,44.0,0,0,44.0
196,1,1,0,0,146.5208,0,0.0,58.0,0,0,58.0
197,0,3,0,0,7.75,1,1.0,25.0,1,0,75.0
198,0,3,0,1,8.4042,1,2.0,42.0,0,1,126.0
199,1,3,0,0,7.75,0,1.0,21.5,1,0,64.5
200,0,2,0,0,13.0,0,2.0,24.0,0,0,48.0
201,0,3,0,0,9.5,1,2.0,28.0,0,0,84.0
202,0,3,8,2,69.55,1,2.0,25.0,1,10,75.0
203,0,3,0,0,6.4958,1,2.0,34.0,0,0,102.0
204,0,3,0,0,7.225,1,0.0,45.5,0,0,136.5
205,1,3,0,0,8.05,1,2.0,18.0,0,0,54.0
206,0,3,0,1,10.4625,0,2.0,2.0,0,1,6.0
207,0,3,1,0,15.85,1,2.0,32.0,0,1,96.0
208,1,3,0,0,18.7875,1,0.0,26.0,0,0,78.0
209,1,3,0,0,7.75,0,1.0,16.0,0,0,48.0
210,1,1,0,0,31.0,1,0.0,40.0,0,0,40.0
211,0,3,0,0,7.05,1,2.0,24.0,0,0,72.0
212,1,2,0,0,21.0,0,2.0,35.0,0,0,70.0
213,0,3,0,0,7.25,1,2.0,22.0,0,0,66.0
214,0,2,0,0,13.0,1,2.0,30.0,0,0,60.0
215,0,3,1,0,7.75,1,1.0,25.0,1,1,75.0
216,1,1,1,0,113.275,0,0.0,31.0,0,1,31.0
217,1,3,0,0,7.925,0,2.0,27.0,0,0,81.0
218,0,2,1,0,27.0,1,2.0,42.0,0,1,84.0
219,1,1,0,0,76.2917,0,0.0,32.0,0,0,32.0
220,0,2,0,0,10.5,1,2.0,30.0,0,0,60.0
221,1,3,0,0,8.05,1,2.0,16.0,0,0,48.0
222,0,2,0,0,13.0,1,2.0,27.0,0,0,54.0
223,0,3,0,0,8.05,1,2.0,51.0,0,0,153.0
224,0,3,0,0,7.8958,1,2.0,25.0,1,0,75.0
225,1,1,1,0,90.0,1,2.0,38.0,0,1,38.0
226,0,3,0,0,9.35,1,2.0,22.0,0,0,66.0
227,1,2,0,0,10.5,1,2.0,19.0,0,0,38.0
228,0,3,0,0,7.25,1,2.0,20.5,0,0,61.5
229,0,2,0,0,13.0,1,2.0,18.0,0,0,36.0
230,0,3,3,1,25.4667,0,2.0,21.5,1,4,64.5
231,1,1,1,0,83.475,0,2.0,35.0,0,1,35.0
232,0,3,0,0,7.775,1,2.0,29.0,0,0,87.0
233,0,2,0,0,13.5,1,2.0,59.0,0,0,118.0
234,1,3,4,2,31.3875,0,2.0,5.0,0,6,15.0
235,0,2,0,0,10.5,1,2.0,24.0,0,0,48.0
236,0,3,0,0,7.55,0,2.0,21.5,1,0,64.5
237,0,2,1,0,26.0,1,2.0,44.0,0,1,88.0
238,1,2,0,2,26.25,0,2.0,8.0,0,2,16.0
239,0,2,0,0,10.5,1,2.0,19.0,0,0,38.0
240,0,2,0,0,12.275,1,2.0,33.0,0,0,66.0
241,0,3,1,0,14.4542,0,0.0,21.5,1,1,64.5
242,1,3,1,0,15.5,0,1.0,21.5,1,1,64.5
243,0,2,0,0,10.5,1,2.0,29.0,0,0,58.0
244,0,3,0,0,7.125,1,2.0,22.0,0,0,66.0
245,0,3,0,0,7.225,1,0.0,30.0,0,0,90.0
246,0,1,2,0,90.0,1,1.0,44.0,0,2,44.0
247,0,3,0,0,7.775,0,2.0,25.0,0,0,75.0
248,1,2,0,2,14.5,0,2.0,24.0,0,2,48.0
249,1,1,1,1,52.5542,1,2.0,37.0,0,2,37.0
250,0,2,1,0,26.0,1,2.0,54.0,0,1,108.0
251,0,3,0,0,7.25,1,2.0,25.0,1,0,75.0
252,0,3,1,1,10.4625,0,2.0,29.0,0,2,87.0
253,0,1,0,0,26.55,1,2.0,62.0,0,0,62.0
254,0,3,1,0,16.1,1,2.0,30.0,0,1,90.0
255,0,3,0,2,20.2125,0,2.0,41.0,0,2,123.0
256,1,3,0,2,15.2458,0,0.0,29.0,0,2,87.0
257,1,1,0,0,79.2,0,0.0,35.0,1,0,35.0
258,1,1,0,0,86.5,0,2.0,30.0,0,0,30.0
259,1,1,0,0,512.3292,0,0.0,35.0,0,0,35.0
260,1,2,0,1,26.0,0,2.0,50.0,0,1,100.0
261,0,3,0,0,7.75,1,1.0,25.0,1,0,75.0
262,1,3,4,2,31.3875,1,2.0,3.0,0,6,9.0
263,0,1,1,1,79.65,1,2.0,52.0,0,2,52.0
264,0,1,0,0,0.0,1,2.0,40.0,0,0,40.0
265,0,3,0,0,7.75,0,1.0,21.5,1,0,64.5
266,0,2,0,0,10.5,1,2.0,36.0,0,0,72.0
267,0,3,4,1,39.6875,1,2.0,16.0,0,5,48.0
268,1,3,1,0,7.775,1,2.0,25.0,0,1,75.0
269,1,1,0,1,153.4625,0,2.0,58.0,0,1,58.0
270,1,1,0,0,135.6333,0,2.0,35.0,0,0,35.0
271,0,1,0,0,31.0,1,2.0,40.0,1,0,40.0
272,1,3,0,0,0.0,1,2.0,25.0,0,0,75.0
273,1,2,0,1,19.5,0,2.0,41.0,0,1,82.0
274,0,1,0,1,29.7,1,0.0,37.0,0,1,37.0
275,1,3,0,0,7.75,0,1.0,21.5,1,0,64.5
276,1,1,1,0,77.9583,0,2.0,63.0,0,1,63.0
277,0,3,0,0,7.75,0,2.0,45.0,0,0,135.0
278,0,2,0,0,0.0,1,2.0,30.0,1,0,60.0
279,0,3,4,1,29.125,1,1.0,7.0,0,5,21.0
280,1,3,1,1,20.25,0,2.0,35.0,0,2,105.0
281,0,3,0,0,7.75,1,1.0,65.0,0,0,195.0
282,0,3,0,0,7.8542,1,2.0,28.0,0,0,84.0
283,0,3,0,0,9.5,1,2.0,16.0,0,0,48.0
284,1,3,0,0,8.05,1,2.0,19.0,0,0,57.0
285,0,1,0,0,26.0,1,2.0,40.0,1,0,40.0
286,0,3,0,0,8.6625,1,0.0,33.0,0,0,99.0
287,1,3,0,0,9.5,1,2.0,30.0,0,0,90.0
288,0,3,0,0,7.8958,1,2.0,22.0,0,0,66.0
289,1,2,0,0,13.0,1,2.0,42.0,0,0,84.0
290,1,3,0,0,7.75,0,1.0,22.0,0,0,66.0
291,1,1,0,0,78.85,0,2.0,26.0,0,0,26.0
292,1,1,1,0,91.0792,0,0.0,19.0,0,1,19.0
293,0,2,0,0,12.875,1,0.0,36.0,0,0,72.0
294,0,3,0,0,8.85,0,2.0,24.0,0,0,72.0
295,0,3,0,0,7.8958,1,2.0,24.0,0,0,72.0
296,0,1,0,0,27.7208,1,0.0,40.0,1,0,40.0
297,0,3,0,0,7.2292,1,0.0,23.5,0,0,70.5
